"Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
13600,75100,71200,92300,80401
702400,7960300,5970200,3392399,2733200
4341699,55535100,44620901,14345000,12667901
14914800,194224999,186243801,39164100,59939900
29428600,513506100,407867401,144644299,65206699
53681500,1001015299,825227500,129598299,95662000
92628401,1574392901,1323335599,171116800,151203900
161580300,2607315699,2288705400,313162000,211744001
238569700,4361869301,3309725800,339818800,299645100
369032400,5824075999,4878484701,422006900,380994701
