"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,14000,69600,63200,66500,60700
100,774900,8872700,7402500,4298000,3353100
200,4602200,112310600,51041400,20994000,17732400
300,13541000,217279000,318788400,65503300,49702700
400,31232400,480842700,490402200,142852800,109300700
500,55812600,1005870300,875823200,330898000,197275200
600,92598300,1728803800,1537577900,417501300,306598100
700,142417400,2904115800,2664554600,655881700,531214800
800,229134100,4170472200,3797626900,1093799900,1012862000
900,308649300,5949181200,5538738800,1730381600,1595875400
1024,558306100,8521137400,7948475300,2862809600,2202593300
840,242863200,4764311500,4440825400,1678896000,1157024000
913,338001500,6028117200,5778962700,2074336400,1677133000
375,25243800,458652500,355833100,115909300,118668700
165,2603600,31829300,28014600,12604800,10831200
958,373489300,7155698800,6698843400,2828830600,2031559800
928,522113700,6492303300,6519764700,2406556000,1736617100
681,237280500,2969613100,3055312300,905236600,552014100
679,364400400,3271446500,3083198100,1284366400,651083300
102,1623700,17304000,9564100,4971800,5556900
50,129300,1244700,988700,796600,588700
32,62800,329900,271400,260900,252500
235,10744400,105182700,106707200,43239600,42238800
286,35267900,342734000,184423900,51866700,46267700
847,345103400,6154429100,5401914000,1979461800,1558940700
359,79246000,427981100,725368800,101832800,82016900
331,19099400,353302700,272150700,80005100,202817400
222,5897200,94375000,102455000,30378400,25003800
938,383863700,8253932800,6261769700,2456983600,1932494500
621,143685900,1964306800,1956284700,581758300,494022600
