"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,1096400,11541300,9726700,4486400,3903500
200,6806400,91598200,70143800,21525100,20041500
300,19585900,307986000,264121500,56692300,52930000
400,44853400,761403600,649411400,104288600,93325800
500,80304900,1468481200,1139584100,158589800,151314900
600,145927100,2603440900,2034920100,252865100,221697200
700,244282500,4088850100,3339284600,353233300,324737800
800,396907300,6087457000,4836801000,497034600,458051100
900,487717200,8679297000,6930892100,665379400,581599300
1024,836174000,12838240200,10465384500,843196400,785769400
543,107217600,1906434100,1512765000,212825600,183143200
50,173000,1582800,1646800,1553700,875300
528,99418300,1736896000,1389148000,215523800,180018600
477,73836200,1253699900,1059733100,162767900,159583000
489,82990100,1430039300,1148558800,156293400,161999000
789,348951800,5879431500,4780855900,499861100,424062000
622,164080400,2864808100,2390282200,296335700,241809200
951,630299800,10503959700,9152528100,917589600,862002500
562,145060200,2231298100,1711501200,229732200,209233800
465,70329500,1163225800,960448300,135647900,132259400
699,258285100,4288639900,3699355200,464644900,366858400
448,60982300,1173505400,936103400,142602000,137506700
458,87901500,1254001500,1026953900,146819700,149163900
509,96343400,1743852800,1438808900,181960100,171447600
187,6153500,79125600,65759000,19829500,18164200
280,17086100,283509600,207416600,49181800,50444100
912,538643500,9031039500,7457994200,662571800,597265700
40,111100,804400,846700,777300,697400
484,79752200,1341329700,1028359500,156715800,132172000
767,310328100,5424782500,4350711100,420977600,387698100
