"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,13700,124700,79300,83100,70000
100,712200,7470300,7149100,6844600,5121900
200,4261000,57703900,70108900,90569300,61319800
300,12833400,201360500,199739000,259597500,204589600
400,27936500,517042300,455691800,493924700,350118100
500,51341100,965191500,905446400,1058548100,691890300
600,89171100,1980054400,1561497700,2004066600,1397814300
700,174093100,2692623100,2577970400,3207290500,1829488200
800,230172600,3895103200,3814341500,4165083500,3469039000
900,314105100,5311945300,5249114500,5732167000,3754682500
1024,472314200,8187472500,7784199900,9303026600,6382605900
817,240606000,4246542000,4127227500,5065517800,2876001300
899,299373700,5441436600,5210603900,7013699700,4166667600
532,61055500,1138044800,1104304300,1350768900,862208200
742,160077900,3019817800,2962688100,3025836300,2271428000
46,138000,801500,725300,821800,672100
825,213827200,4261458700,3966656400,5318864100,3944161200
314,14141000,229079300,252968300,178900400,172700300
765,211057500,3408723500,3091833200,3911779700,2975737400
406,33614900,550843100,546925900,573742600,380861900
986,410646600,7237717400,6825055200,8778056300,6346622100
739,190910700,3134621800,2920132000,3765622600,2938612900
598,127648000,1699944800,1840870600,2432902000,1485882100
881,267646000,5278150300,5041587400,7047607200,4665514400
169,2777300,36392000,33780900,27527700,24661200
85,462200,4863500,6064500,5056800,3600900
177,3060800,42363400,38827700,31913300,27670800
239,7022800,99026200,96538700,74832800,59465400
769,183295700,3753798900,3707637400,6091351400,6528495900
270,14770500,165337800,174171800,258162400,131347000
